kanji_id,onyomi,kunyomi,arti,level,strokes,frequency,description
東,tou,higashi,timur,N5,8,110,"東 is a Japanese kanji that means east. 東 has 8 strokes, and is the 110th most common kanji in Japanese."
道,dou,michi,jalan,N5,12,96,"道 is a Japanese kanji that means road. 道 has 12 strokes, and is the 96th most common kanji in Japanese."
読,doku,yo-mu,membaca,N5,14,306,"読 is a Japanese kanji that means read. 読 has 14 strokes, and is the 306th most common kanji in Japanese."
南,nan,minami,selatan,N5,9,378,"南 is a Japanese kanji that means south. 南 has 9 strokes, and is the 378th most common kanji in Japanese."
二,ni,futa-tsu,dua,N5,2,20,"二 is a Japanese kanji that means two. 二 has 2 strokes, and is the 20th most common kanji in Japanese."
日,"nichi, jitsu","hi, -ka",hari,N5,4,3,"日 is a Japanese kanji that means sun; day. 日 has 4 strokes, and is the 3rd most common kanji in Japanese."
入,nyuu,hai-ru,masuk,N5,2,34,"入 is a Japanese kanji that means enter. 入 has 2 strokes, and is the 34th most common kanji in Japanese."
年,nen,toshi,tahun,N5,6,5,"年 is a Japanese kanji that means year. 年 has 6 strokes, and is the 5th most common kanji in Japanese."
買,bai,ka-u,membeli,N5,12,339,"買 is a Japanese kanji that means buy. 買 has 12 strokes, and is the 339th most common kanji in Japanese."
白,haku,shiro-i,putih,N5,5,196,"白 is a Japanese kanji that means white. 白 has 5 strokes, and is the 196th most common kanji in Japanese."
八,hachi,ya-tsu,delapan,N5,2,144,"八 is a Japanese kanji that means eight. 八 has 2 strokes, and is the 144th most common kanji in Japanese."
半,han,naka-ba,separuh,N5,5,250,"半 is a Japanese kanji that means half. 半 has 5 strokes, and is the 250th most common kanji in Japanese."
百,hyaku,-,seratus,N5,6,279,"百 is a Japanese kanji that means hundred; 100. 百 has 6 strokes, and is the 279th most common kanji in Japanese."
父,fu,chichi,ayah,N5,4,227,"父 is a Japanese kanji that means father. 父 has 4 strokes, and is the 227th most common kanji in Japanese."
分,"fun, bun","wa-keru, wa-karu",menit,N5,4,14,"分 is a Japanese kanji that means divide. 分 has 4 strokes, and is the 14th most common kanji in Japanese."
聞,"bun, mon",ki-ku,mendengar,N5,14,115,"聞 is a Japanese kanji that means listen. 聞 has 14 strokes, and is the 115th most common kanji in Japanese."
母,bo,Haha,ibu,N5,5,238,"母 is a Japanese kanji that means mother. 母 has 5 strokes, and is the 238th most common kanji in Japanese."
北,hoku,Kita,utara,N5,5,232,"北 is a Japanese kanji that means north. 北 has 5 strokes, and is the 232nd most common kanji in Japanese."
木,"moku, boku",Ki,pohon,N5,4,162,"木 is a Japanese kanji that means tree. 木 has 4 strokes, and is the 162nd most common kanji in Japanese."
本,hon,Moto,"asal, buku",N5,5,7,"本 is a Japanese kanji that means book. 本 has 5 strokes, and is the 7th most common kanji in Japanese."
毎,mai,-,setiap,N5,6,669,"毎 is a Japanese kanji that means every, each. 毎 has 6 strokes, and is the 669th most common kanji in Japanese."
万,"man, ban",-,sepuluh ribu,N5,3,193,"万 is a Japanese kanji that means 10,000; ten thousand. 万 has 3 strokes, and is the 193rd most common kanji in Japanese."
名,"mei, myou",Na,nama,N5,6,78,"名 is a Japanese kanji that means name. 名 has 6 strokes, and is the 78th most common kanji in Japanese."
目,moku,Me,mata,N5,5,39,"目 is a Japanese kanji that means eye. 目 has 5 strokes, and is the 39th most common kanji in Japanese."
友,yuu,Tomo,teman,N5,4,458,"友 is a Japanese kanji that means friend. 友 has 4 strokes, and is the 458th most common kanji in Japanese."
来,rai,ku-ru,datang,N5,7,52,"来 is a Japanese kanji that means come. 来 has 7 strokes, and is the 52nd most common kanji in Japanese."
立,ritsu,ta-tsu,berdiri,N5,5,45,"立 is a Japanese kanji that means stand. 立 has 5 strokes, and is the 45th most common kanji in Japanese."
六,roku,mu-tsu,enam,N5,4,173,"六 is a Japanese kanji that means six. 六 has 4 strokes, and is the 173rd most common kanji in Japanese."
話,wa,"hana-su, hanashi",berbicara,N5,13,54,"話 is a Japanese kanji that means talk. 話 has 13 strokes, and is the 54th most common kanji in Japanese."
